dataset_seed,model_seed,model_name,Estimated K,Effective K,Forward KL,Weights TV,Means Error,Covariance Error,ARI,Macro F1,fit_time,ok,scenario
1001,1,em_bayesian_kmax24,24.0,6.0,0.9711789825285776,0.2653401262997921,0.04590980061093762,1.0697697061905058,0.6714077767079358,0.283632733218483,0.3186392999996315,1,student_t_df3_uniform_d10_sep1_n500
1001,1,gmmoments_kmax24,24.0,11.0,1.4804253710632154,0.49141621150462844,0.15856451754586795,0.9434802523467181,0.4756084957212623,0.1027523747495583,1.1501825999948778,1,student_t_df3_uniform_d10_sep1_n500
1001,1,smooth_em_k0_24,3.0,3.0,0.014516347759503731,0.021483713921097464,0.04834020054445118,0.0,0.9756306589185898,0.9921541725627957,0.12850590000016382,1,student_t_df3_uniform_d10_sep1_n500
1002,1,em_bayesian_kmax24,24.0,6.0,0.9917189287655414,0.30048058252807786,0.056842656440690746,1.2421347882526266,0.6370947255567655,0.22407830974995155,0.45535319999908097,1,student_t_df3_uniform_d10_sep1_n500
1002,1,gmmoments_kmax24,24.0,11.0,2.220083948160759,0.5114368487531763,0.148229988292799,1.1491438197275086,0.42418931203701354,0.09933513864009554,1.047495600003458,1,student_t_df3_uniform_d10_sep1_n500
1002,1,smooth_em_k0_24,3.0,3.0,0.016762596162159214,0.030541016215574368,0.05513435936468648,0.0,0.9760003821755817,0.9920158771443717,0.1269308999981149,1,student_t_df3_uniform_d10_sep1_n500
1003,1,em_bayesian_kmax24,24.0,7.0,1.0564248249718438,0.30752102265530745,0.050364387878834356,1.2033610849091236,0.6120069096457558,0.34800849707912906,0.39866130000154953,1,student_t_df3_uniform_d10_sep1_n500
1003,1,gmmoments_kmax24,24.0,8.0,2.132727677172192,0.2795804433211684,0.08215000904089163,1.0530234201469404,0.6383840909050947,0.14145840311644825,1.0191129000013461,1,student_t_df3_uniform_d10_sep1_n500
1003,1,smooth_em_k0_24,3.0,3.0,0.059696751509345315,0.011379512550798304,0.10751153937783312,0.0,0.928939085702248,0.9760308433853003,0.12454009999783011,1,student_t_df3_uniform_d10_sep1_n500
1001,1,em_bayesian_kmax24,24.0,8.0,0.8200066645696679,0.5125337657326176,0.028435937310457154,1.5264082841532955,0.4882698985946593,0.19825455296488498,2.458695200002694,1,student_t_df3_uniform_d10_sep1_n2000
1001,1,gmmoments_kmax24,24.0,11.0,1.9784520207360383,0.5103794511637469,0.14122137521768008,0.9101101860579479,0.41623355039210624,0.13738021118244095,1.5480781999940518,1,student_t_df3_uniform_d10_sep1_n2000
1001,1,smooth_em_k0_24,3.0,3.0,0.008628557179033441,0.014232450666689933,0.04243968578921418,0.0,0.9730021249716443,0.9910567457330947,0.6261373000015737,1,student_t_df3_uniform_d10_sep1_n2000
1002,1,em_bayesian_kmax24,24.0,10.0,0.8456762601776773,0.5953047881949156,0.036941372582685636,1.3437697146130596,0.42785623786958993,0.1757182271248437,2.1974535999979707,1,student_t_df3_uniform_d10_sep1_n2000
1002,1,gmmoments_kmax24,24.0,10.0,1.9409742687935365,0.47902777012683906,0.09790663465126945,1.3073211054423821,0.5328323260155727,0.13803450291979918,1.518663300004846,1,student_t_df3_uniform_d10_sep1_n2000
1002,1,smooth_em_k0_24,3.0,3.0,0.008695584506701095,0.00397009297486603,0.04519648400928683,0.0,0.9716791698577483,0.9904974647471255,0.48496769999474054,1,student_t_df3_uniform_d10_sep1_n2000
1003,1,em_bayesian_kmax24,24.0,8.0,0.8080120876604702,0.5330311144050952,0.038612950328618986,1.5172796081182984,0.4762663646363795,0.2429943767329894,2.446750899995095,1,student_t_df3_uniform_d10_sep1_n2000
1003,1,gmmoments_kmax24,24.0,10.0,1.692022580001266,0.611075144414989,0.11939129413074112,1.686871451419294,0.3909093177569422,0.1098068529185113,1.5849204999976791,1,student_t_df3_uniform_d10_sep1_n2000
1003,1,smooth_em_k0_24,3.0,3.0,0.006686125045923623,0.009811843025828243,0.0359380183037551,0.0,0.9717383396736242,0.9904848115860295,0.5049146000019391,1,student_t_df3_uniform_d10_sep1_n2000
1001,1,em_bayesian_kmax24,24.0,4.0,19.43237920706236,0.26062247514603365,0.053869474546623546,1.245323638418349,0.5824086423108973,0.6381230923499764,0.6714842000001227,1,student_t_df3_uniform_d50_sep1_n500
1001,1,gmmoments_kmax24,24.0,4.0,8.028593612734255,0.06911191322925286,0.04805483589312057,0.7029306298544535,0.8217104419902724,0.12188664720961447,1.8525762999997823,1,student_t_df3_uniform_d50_sep1_n500
1001,1,smooth_em_k0_24,3.0,3.0,0.11499367496335434,0.02066666666666664,0.07021572830529349,0.0,1.0,1.0,0.2407807000054163,1,student_t_df3_uniform_d50_sep1_n500
1002,1,em_bayesian_kmax24,24.0,4.0,19.903442452550383,0.24776431699955992,0.05760875002308298,1.2889564470706034,0.6119704238549738,0.5131235047793303,0.9292466999977478,1,student_t_df3_uniform_d50_sep1_n500
1002,1,gmmoments_kmax24,24.0,5.0,8.332320320099978,0.27877118697970027,0.05620116639594195,0.94511023392074,0.7041000607066795,0.10785089287960493,2.4953447999942,1,student_t_df3_uniform_d50_sep1_n500
1002,1,smooth_em_k0_24,3.0,3.0,0.18788767100089193,0.03266666666666665,0.08872669638994742,0.0,0.994302905573855,0.9978969505783386,0.24478670000098646,1,student_t_df3_uniform_d50_sep1_n500
1003,1,em_bayesian_kmax24,24.0,4.0,18.9812371433907,0.2233831706843889,0.04833544639965367,1.2222822545339467,0.6487460085949442,0.5245465329451096,0.6206775000027847,1,student_t_df3_uniform_d50_sep1_n500
1003,1,gmmoments_kmax24,24.0,4.0,4.880235059779648,0.272631322506969,0.10111057941664175,2.9109163695593683,0.9257003916165369,0.0808649935204075,2.4793359999966924,1,student_t_df3_uniform_d50_sep1_n500
1003,1,smooth_em_k0_24,3.0,3.0,0.13791395169966283,0.009321855170543542,0.07721981468553589,0.0,1.0,1.0,0.23014939999848139,1,student_t_df3_uniform_d50_sep1_n500
1001,1,em_bayesian_kmax24,24.0,5.0,12.108792541981074,0.3613483245622072,0.0270750149954035,1.3793240683571668,0.6643371355067095,0.4498457499394221,3.421714600000996,1,student_t_df3_uniform_d50_sep1_n2000
1001,1,gmmoments_kmax24,24.0,4.0,10.355429878642951,0.057460484454874644,0.026696609925143545,0.7938952951595242,0.8356799534360956,0.13429854608247244,3.186236400004418,1,student_t_df3_uniform_d50_sep1_n2000
1001,1,smooth_em_k0_24,3.0,3.0,0.026300206667147382,0.012257591359050163,0.03331499236651352,0.0,0.9984724051126423,0.9995090497708929,3.3887781999947038,1,student_t_df3_uniform_d50_sep1_n2000
1002,1,em_bayesian_kmax24,24.0,6.0,9.696707024460272,0.25504343227580845,0.02812336542320165,0.7743856833146473,0.612726860678233,0.4182694905630926,23.703358300001128,1,student_t_df3_uniform_d50_sep1_n2000
1002,1,gmmoments_kmax24,24.0,6.0,11.35906454061546,0.15427835244986715,0.06853952289266427,0.8220644936216703,0.7840881303458294,0.13127132819803503,9.945653700000548,1,student_t_df3_uniform_d50_sep1_n2000
1002,1,smooth_em_k0_24,3.0,3.0,0.033564026805241544,0.0073440518571152025,0.03626536771734728,0.0,0.9954566386111634,0.9985163196582693,3.2621660999939195,1,student_t_df3_uniform_d50_sep1_n2000
1003,1,em_bayesian_kmax24,24.0,4.0,15.005910920314648,0.16919933527972408,0.027484960934663384,0.9836514134621048,0.7288818757667395,0.6801721057240723,11.106580800005759,1,student_t_df3_uniform_d50_sep1_n2000
1003,1,gmmoments_kmax24,24.0,7.0,10.13527553718369,0.057364285356886514,0.035285661647630265,0.7850176040997443,0.8178872089638878,0.12167658510773795,7.2893848000021535,1,student_t_df3_uniform_d50_sep1_n2000
1003,1,smooth_em_k0_24,3.0,3.0,0.02592441684068863,0.009166398632208722,0.03446250885789784,0.0,0.9984856475149212,0.9995045606371219,3.070760700000392,1,student_t_df3_uniform_d50_sep1_n2000
